AadhaarNo,Name,Age,Address,Email,PhoneNo,City,State,Devices,AssignedIPs,ISP,IsSuspicious,SuspiciousType,HomeLocation,UsualActiveHours
922027456759,Charvi Mohan,47,"83/838, Vala Chowk, Ahmedabad, Gujarat - 147456",charvi.mohan3@gmail.com,9402130679,Ahmedabad,Gujarat,353281087291232|358755075056423,192.168.1.144|192.168.1.91|192.168.1.138|192.168.1.168,Vi,True,long_sessions,"20.451066,76.900954",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
832471867126,Onkar Lall,52,"H.No. 289, Mutti Path, Kolkata, West Bengal - 218852",onkar.lall949@yahoo.in,9109168907,Kolkata,West Bengal,352267113740845,192.168.1.112|192.168.1.107|192.168.1.67|192.168.1.151,Vi,False,,"19.787078,76.620341",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
368774807182,Timothy Srinivasan,21,"H.No. 53, Nigam Chowk, Pune, Maharashtra - 429462",timothy.srinivasan764@gmail.com,8294921453,Pune,Maharashtra,353281086751572,192.168.1.31|192.168.1.142,BSNL,False,,"20.086646,76.993274",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
739141542968,Kamala Venkatesh,51,"H.No. 521, Rama Ganj, Mumbai, Maharashtra - 254178",kamala.venkatesh652@gmail.com,8124441904,Mumbai,Maharashtra,865856039346243,103.21.108.221|103.21.14.65|103.21.103.154|117.18.71.8|103.21.223.149,Vi,False,,"18.71487,72.785808",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
534829522431,Benjamin Bera,28,"51/747, Salvi Path, Delhi, Delhi - 595357",benjamin.bera446@gmail.com,8717878301,Delhi,Delhi,358755072965685,106.51.73.39|117.97.63.81|203.122.182.68|106.51.75.65,Vi,False,,"28.889402,77.241767",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
069133582079,Sarthak Naik,28,"03, Atwal Street, Mumbai, Maharashtra - 671484",sarthak.naik168@gmail.com,8798525311,Mumbai,Maharashtra,358755071491893,125.99.35.162|117.18.162.32,Vi,False,,"18.731764,72.672635",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
502723278628,Aashi Chanda,65,"425, Kumer Marg, Delhi, Delhi - 659611",aashi.chanda397@gmail.com,8897709653,Delhi,Delhi,356944107839604,203.122.75.219|117.97.36.80,Jio,False,,"29.054138,76.812152",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
651976958837,Ranbir D’Alia,50,"H.No. 905, Venkataraman Street, Hyderabad, Telangana - 609132",ranbir.d’alia945@yahoo.in,9461624540,Hyderabad,Telangana,865856032401786|358495096299046,192.168.1.63|192.168.1.19|192.168.1.211|192.168.1.188|192.168.1.75,Airtel,True,micro_sessions|large_transfers|long_sessions,"20.29088,76.740848",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
278940891877,Chatura Sandhu,30,"H.No. 72, Rout Path, Hyderabad, Telangana - 485912",chatura.sandhu683@gmail.com,9723997924,Hyderabad,Telangana,352267116161443,192.168.1.103|192.168.1.141|192.168.1.77,Vi,False,,"19.772564,77.155563",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
600562993302,Mitesh Arya,34,"32, Goda Circle, Pune, Maharashtra - 289854",mitesh.arya37@gmail.com,6562539395,Pune,Maharashtra,353281081843355|353281088606017|353281084308407|356944108711181,192.168.1.11|192.168.1.93|192.168.1.182|192.168.1.215,Jio,True,ip_hopping|long_sessions|device_cloning,"19.943779,77.190211",6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22
